X,Y,label
579957.1369764737,6907554.04752029,0
835301.6842886804,7091108.940825613,0
5238.114397166122,6674211.427810615,0
744472.192978958,7028461.457158184,0
164208.60941204056,6617751.06186849,0
474749.0674364106,6419381.292102374,0
853666.7831814556,6437705.282696577,0
71733.90576209332,6809532.203859864,0
226218.03612027725,6515709.423252515,0
837025.6739745123,6098485.140287268,0
731986.3367510524,6405286.28623185,0
9563.985951375202,7073798.416996166,0
314170.1589329177,6886533.96798686,0
776609.0218709053,6884628.480885292,0
951712.9010263076,6361226.931427973,0
955975.8953555299,6250191.531478472,0
573773.933533498,6798790.34399121,0
106830.4458193531,6552133.6890288675,0
970719.9892747642,6853519.871464012,0
109560.58851556561,6978678.802028298,0
921531.6653897989,6150210.347768182,0
151474.6553770659,6976521.348046677,0
716738.9970104609,6979311.419781422,0
862635.1847453713,6406309.543519677,0
76908.86718346039,6905474.901338345,0
410727.81724417524,7006149.388234513,0
273118.57629046513,6610117.044015406,0
904845.1697280278,6391653.914599438,0
128282.3700628241,6915089.991354839,0
389173.42329493153,6565881.312653519,0
375782.32849144953,6883981.524300095,0
31908.542493455316,6807588.787426317,0
162646.21387925593,6904988.1105164895,0
594882.229910041,6671223.085493369,0
181918.03423819924,6772632.451963105,0
119752.52125516252,6650267.275468388,0
-65312.839714460795,6980429.268930036,0
519908.7560895154,6411151.491505796,0
774574.7474668544,6930848.783446765,0
1076940.7605079655,6761501.990211201,0
1035453.833830947,5962516.721952654,0
573770.4930199025,6638593.037825809,0
137370.72509831446,6558653.828860623,0
728031.5026378047,6485946.4756083945,0
232229.70518183598,7063342.003118322,0
805551.3435968804,6971906.040971737,0
293372.61605503416,6630063.729539039,0
20101.411033171316,6603199.857604544,0
124925.7942941903,6797164.677171279,0
1088440.6598720667,6999872.0947180465,0
893388.548042907,6243080.132501255,0
691678.7115858921,7016816.943726812,0
536530.2427213974,6748780.107022459,0
504648.39427349274,6801960.491801713,0
-4272.063422851483,7082686.315944024,0
664188.8384043375,6324033.344614299,0
573742.1229119205,6719193.774040688,0
821365.3948439527,6958318.685954812,0
